{'steering': np.float64(0.0219), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:23:291', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 0, 'image': '000000.png'}
{'steering': np.float64(0.0265), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:23:395', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 1, 'image': '000001.png'}
{'steering': np.float64(0.0542), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:23:484', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 2, 'image': '000002.png'}
{'steering': np.float64(0.0637), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:23:577', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 3, 'image': '000003.png'}
{'steering': np.float64(0.0613), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:23:674', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 4, 'image': '000004.png'}
{'steering': np.float64(0.0686), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:23:769', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 5, 'image': '000005.png'}
{'steering': np.float64(0.0747), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:23:852', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 6, 'image': '000006.png'}
{'steering': np.float64(0.0736), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:23:946', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 7, 'image': '000007.png'}
{'steering': np.float64(0.0737), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:24:39', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 8, 'image': '000008.png'}
{'steering': np.float64(0.0738), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:24:123', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 9, 'image': '000009.png'}
{'steering': np.float64(0.0812), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:24:216', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 10, 'image': '000010.png'}
{'steering': np.float64(0.0947), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:24:311', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 11, 'image': '000011.png'}
{'steering': np.float64(0.0925), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:24:405', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 12, 'image': '000012.png'}
{'steering': np.float64(0.0854), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:24:498', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 13, 'image': '000013.png'}
{'steering': np.float64(0.0869), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:24:594', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 14, 'image': '000014.png'}
{'steering': np.float64(0.0579), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:24:694', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 15, 'image': '000015.png'}
{'steering': np.float64(0.0265), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:24:791', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 16, 'image': '000016.png'}
{'steering': np.float64(-0.0476), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:24:878', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 17, 'image': '000017.png'}
{'steering': np.float64(-0.1219), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:24:962', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 18, 'image': '000018.png'}
{'steering': np.float64(-0.1882), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:25:65', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 19, 'image': '000019.png'}
{'steering': np.float64(-0.2634), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:25:159', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 20, 'image': '000020.png'}
{'steering': np.float64(-0.3671), 'forward': 0.30000000000000004, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:25:255', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 21, 'image': '000021.png'}
{'steering': np.float64(1.7134), 'forward': 0.25, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:25:349', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 22, 'image': '000022.png'}
{'steering': np.float64(-0.4688), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:25:433', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 23, 'image': '000023.png'}
{'steering': np.float64(-0.1552), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:25:531', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 24, 'image': '000024.png'}
{'steering': np.float64(-0.1566), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:25:613', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 25, 'image': '000025.png'}
{'steering': np.float64(-0.158), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:25:708', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 26, 'image': '000026.png'}
{'steering': np.float64(-0.1594), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:25:811', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 27, 'image': '000027.png'}
{'steering': np.float64(-0.1608), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:25:905', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 28, 'image': '000028.png'}
{'steering': np.float64(-0.4174), 'forward': 0.30000000000000004, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:25:989', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 29, 'image': '000029.png'}
